date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Broccoli,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Cherimoya,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Kohlrabi,Kumquat,Lemons,Lettuce,Limes,Longan,Lychee,Mangos,Mushrooms,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Turnip,Watermelon,Yams,Cassava
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2006-03-01,45,0,0,0,0,34,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2006-07-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,44,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2006-09-01,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,100,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,32,0,0,0,0,48,0,0,0,0,70,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0
2006-12-01,32,0,0,0,0,24,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,28,0,0,0,0,20,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,24,0,0,0,0,18,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,100,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,100,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,100
2007-05-01,31,0,0,0,0,34,0,0,0,0,0,0,42,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,36,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2007-08-01,0,0,0,0,100,17,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,45,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,100,0,0,0,16,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,19,0,0,0,0,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,28,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,21,0,0,0
2007-12-01,21,0,0,0,0,15,0,0,100,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,100,0,0,0,0,20,0,0,0,0,0,0,0,31,0,0,0,87,0,0,0,0,0,0,37,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
2008-02-01,20,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21,0,0,0
2008-03-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,19,0,0,0,0,14,99,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,19,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,80,0,0,35,0,0,0,37,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,28,0,0,72,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
2008-11-01,0,0,44,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
2008-12-01,0,0,0,0,0,11,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,20,71,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,65,0,100,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,18,0,11,0,0,0,0,0,0,90,60,0,48,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,51,0,0,0,0,0,0,53,0,0,24,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,28,0,0
2009-06-01,38,0,37,0,55,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,26,0,63,0,0,0,0,0,0,0,0
2009-07-01,14,0,0,0,0,14,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
2009-08-01,14,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,53,0,0,0,0,0,0,0,0,0,25,0,0,0,0,15,0,0,0,0,0,0,26,0,98,0,0,34,0,0,0,0,26,0,0,100,0,0,0,0,0,0,0,0,0,15,0,0,0
2009-09-01,13,0,38,0,0,24,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,64,0,0,0,0,12,0,0,48,0,33,0,0,0,100,0,0,0,0,0,0,0,0,65,0,0,0,0,0,56,0,0
2009-10-01,12,53,0,0,51,17,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,11,0,0,43,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,22,0,0,27,13,25,0,0
2009-11-01,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,21,0,0,0,0,0,0,0
2009-12-01,12,0,0,0,0,13,0,0,0,0,26,0,22,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,22,0,50,0,0,0,0,0,0,0,12,100,17,0,0,0,0,0,0,52,36,0,11,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,78,10,0,15,0,75,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2010-02-01,11,0,0,0,47,12,0,0,0,0,23,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,45,0,0,0,0,0,0,0,0,0,10,0,78,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
2010-03-01,21,0,0,0,0,8,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,0,0,0,0,0,43,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24,11,0,0,0
2010-04-01,0,0,0,0,0,14,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,100,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,0,45,0,0,0,0,18,0,0,0,0,0,0,0,0,91,61,0,0,0,28,0,0,0,0
2010-05-01,16,0,0,0,0,13,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,29,0,0,0,0,0,0,0,0,0,100,0,0,58,0,0,0,27,13,0,0,0
2010-06-01,0,0,0,100,0,18,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,25,0,0,0,0,0,0,0,0,0,0,13,0,61,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,27,0,0
2010-07-01,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,72,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,97,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,29,0,0
2010-08-01,13,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57,0,52,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,46,0,0,0,0,19,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
2010-09-01,12,0,0,0,0,9,63,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,27,0,0,0,0
2010-10-01,15,0,0,0,0,16,58,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
2010-11-01,21,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,100,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,46,16,0,10,0,0,0,0,0,0,0,52,0,0,0,24,0,0,0,0
2010-12-01,33,0,0,0,0,16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,12,0,0,0,0,0,0,31,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2011-01-01,5,0,0,0,0,8,28,0,0,0,0,0,0,0,0,0,17,0,0,0,0,7,0,21,0,0,0,11,0,0,22,0,0,0,0,0,0,10,6,0,26,0,0,5,0,0,0,39,20,0,0,0,23,13,0,5,0,0,0,0,0,0,0,53,0,0,0,12,0,12,0,0
2011-02-01,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,22,0,0,11,11,0,0,23,0,0,10,0,23,0,0,0,100,41,0,0,0,0,5,0,0,0,0,14,0,0,17,0,0,0,0,0,0,48,0,0,0,10,0,47,0,6,12,0,0
2011-03-01,5,0,15,0,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,23,0,21,23,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,5,0,22,0,0,0,0,0,0,9,0,0,0,0,11,0,0
2011-04-01,0,0,0,0,0,15,0,13,0,0,0,42,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,11,0,0,24,0,0,10,0,0,0,0,6,0,0,0,0,0,0,5,13,0,0,0,14,0,0,17,0,0,0,0,42,0,0,0,0,0,0,23,0,13,0,0,0,0
2011-05-01,6,25,0,45,0,21,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,11,0,0,23,0,6,10,0,23,0,0,0,0,27,0,0,0,0,8,0,0,0,11,14,0,0,8,0,0,0,0,0,0,0,0,42,0,0,22,0,0,0,0,0,0
2011-06-01,9,26,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,30,0,0,77,0,0,0,0,0,11,0,0,0,32,0,0,10,0,0,0,0,0,0,28,0,0,0,0,11,0,0,21,0,0,0,0,9,0,0,0,24,0,0,0,0,43,29,11,23,0,13,6,0,0,0
2011-07-01,6,27,0,49,0,15,32,0,0,0,13,0,11,0,0,0,0,0,0,44,0,0,0,23,0,0,0,0,0,35,0,0,0,11,0,25,0,0,0,0,29,0,0,0,0,6,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,13,0,0
2011-08-01,15,0,0,0,26,13,0,0,0,42,13,0,11,0,0,0,0,0,0,0,39,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,26,9,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2011-09-01,10,26,0,0,25,15,0,12,0,41,0,0,0,0,0,0,0,0,13,0,38,0,0,0,31,0,11,11,26,0,24,25,0,0,0,0,0,11,0,0,28,0,0,0,0,11,0,41,0,11,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2011-10-01,13,0,0,0,22,15,0,0,0,0,11,0,0,0,0,0,0,27,11,0,0,6,0,0,0,0,0,10,23,0,63,0,0,0,0,0,0,0,6,0,0,27,0,5,0,5,0,55,0,0,0,0,0,8,0,7,0,0,0,61,0,0,57,0,9,20,0,12,6,0,0,0
2011-11-01,15,0,15,0,0,10,27,0,0,0,11,0,0,0,0,0,0,0,11,0,50,0,0,0,0,48,9,0,0,0,31,0,0,0,0,0,0,10,0,89,0,0,37,0,0,10,0,0,18,0,13,0,0,19,0,0,0,0,0,0,0,0,0,0,9,20,0,11,0,0,0,0
2011-12-01,10,22,0,0,21,15,0,0,0,0,0,0,9,15,0,0,0,26,0,36,33,0,0,19,0,0,9,0,0,0,50,0,0,12,0,0,0,0,0,0,0,0,0,5,0,9,0,0,18,0,21,0,0,11,0,0,0,0,0,0,0,0,73,0,0,0,0,11,0,16,0,0
2012-01-01,9,20,0,35,0,12,23,0,0,0,9,0,0,0,0,0,0,23,10,32,0,0,0,17,0,0,12,0,20,0,18,0,0,0,0,18,0,0,5,77,0,23,0,0,36,0,0,32,16,9,0,0,0,13,0,0,0,0,32,0,0,0,32,33,0,0,0,15,0,0,0,0
2012-02-01,7,0,0,37,20,12,24,0,0,0,0,17,0,0,0,0,0,24,10,0,0,6,0,0,0,0,0,9,0,0,19,0,0,0,0,0,0,0,5,0,22,0,34,0,0,9,0,33,17,0,11,0,20,7,35,4,0,0,0,0,0,0,0,23,0,0,0,10,0,20,0,0
2012-03-01,9,0,0,0,19,15,24,10,0,0,0,0,0,0,0,0,14,36,0,0,0,0,0,17,0,0,8,9,20,0,37,0,0,12,0,19,0,0,5,0,0,0,0,0,0,6,0,32,0,0,22,0,0,13,0,4,0,19,33,54,0,0,100,0,0,0,0,20,0,10,0,0
