date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Jerusalem Artichoke,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radicchio,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2006-02-01,0,0,64,0,47,71,0,0,0,0,0,0,0,0,73,0,66,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,29,81,0,0,0,0,0,0,0,0,64,0,0,43,0,0,0,0,0,65,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,35,0,0,0,0,56,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,25,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,39,0,0,0,44,68,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,100,0,0,0,0,93,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,77,0,0,0,0,0,0,0,0,20,0,0,41,0,0,39,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,73,0,0,100,0,55,0,0,0,0,0,0,0,0,65,0,58,0,0,0,0,46,0,0,100,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,26,0,0,0,0,0,0,0,100,0,28,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,59,0,0,38,0,0
2006-06-01,85,0,0,0,0,82,67,0,0,0,0,96,0,0,0,0,0,0,0,0,100,53,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,42,0,0,0,0,42,0,0,0,0,0,63,0,0,73,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,30,0,0,0,0,0,100,0,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,33,0,52,0,0,33,52,0,0,0,0,0,0,0,58,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,71,100,0,0,0,0,0,0,40,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,23,0,0,0,52,0,0,0,92,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,55,0,0,0,0,0,74,0,0,0,0
2006-09-01,64,0,0,0,37,32,0,0,0,0,0,97,0,0,0,48,51,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,17,0,0,33,0,0,32,0,0,0,0,0,0,0,0,0,79,50,53,0,0,0,0,52,0,0,34,0,0
2006-10-01,29,0,0,0,33,33,46,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,81,0,48,0,0,0,0,0,0,0,0,0,46,0,0,0,35,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,15,0,0,60,0,0,29,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,28,0,0,0,0,41,46,0,0,81,0,43,100,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,100,0,43,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,45,71,0,0,0,0,0,0,70,0,0,0,0,0
2006-12-01,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,53,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,68,0,0,0,0
2007-01-01,37,0,0,0,56,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,61,0,0,0,0,0,0,0,43,0,100,18,0,0,0,0,0,0,0,0,0,19,0,0,26,0,0,24,0,0,0,0,0,0,0,0,0,61,0,0,41,0,0,0,40,0,0,0,0,0
2007-02-01,67,0,43,0,31,31,43,0,0,0,0,0,0,0,48,0,0,0,0,0,64,34,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,100,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,14,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
2007-03-01,36,0,38,67,28,45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,41,0,37,0,0,0,0,37,0,0,0,0,0,0,29,55,0,0,0,0,0,0,38,100,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,100,0,0,0,25,0,58,24,0,0,38,0,0,0,0,0,38,0,0,81,0,0,0,0,0,0,0,25,0,0
2007-04-01,38,0,0,71,0,49,0,0,0,0,0,0,0,0,45,0,0,62,0,0,0,33,0,0,0,0,42,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,62,0,0,80,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,42,0,0,0,83,57,0,27,0,0
2007-05-01,46,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,29,0,0,64,0,0,0,0,41,0,0,0,35,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,40,0,94,22,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,41,0,0,0,31,39,0,0,0,0,0,41,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,19,0,0,76,43,0,0,0,0,0,14,0,0,28,0,0,27,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,44,0,0,28,0,0
2007-07-01,26,0,0,0,0,37,41,0,0,0,0,0,89,0,46,39,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,25,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,40,0,0
2007-08-01,30,0,0,0,0,46,0,100,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0
2007-09-01,43,0,0,0,0,37,34,0,0,0,0,0,0,46,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,32,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,33,0,93,0,0,0,0,53,0,0,36,0,0,0,0,0,0,0,0,0
2007-10-01,29,0,0,0,0,17,0,0,0,0,0,50,0,42,35,0,32,0,24,0,47,25,0,0,0,0,0,0,0,0,0,69,0,29,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,28,54,0,10,0,0,31,0,47,19,0,0,0,0,0,0,0,0,61,0,0,0,0,0,95,0,0,0,0,20,0,0
2007-11-01,19,0,31,0,22,22,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,29,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,30,0,0,0,0,0,10,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,22,0,0,0,0,32,35,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,49,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,43,0,0,0,0,0,31,0,0,23,0,49,23,0,0,0,0,0,0,0,0,0,61,0,69,0,0,0,0,0,0,0,35,0,0,0,0,0
2008-01-01,38,0,0,0,22,30,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,24,0,0,0,54,32,0,0,0,49,0,0,29,0,0,0,0,0,0,23,0,35,0,0,0,0,0,0,0,0,31,0,34,0,77,27,0,0,0,0,0,0,27,0,0,15,0,0,20,0,0,0,0,45,0,0,0,0,0,0,0,0,0,32,31,0,0,0,31,0,0,40,0,0
2008-02-01,41,0,0,0,23,35,65,0,0,0,0,0,0,0,36,31,0,0,25,0,0,52,0,0,0,0,0,0,32,0,0,0,43,31,0,0,33,0,0,0,49,0,0,0,70,0,0,0,0,83,0,34,0,36,0,0,19,0,0,0,33,0,0,29,56,0,11,0,0,21,0,0,40,0,0,0,0,87,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
2008-03-01,19,0,31,0,33,25,46,0,0,0,0,30,0,0,69,29,0,0,23,0,0,0,100,0,0,0,0,0,30,0,0,67,0,0,0,45,30,0,0,0,0,44,0,0,0,0,0,0,30,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,0,0,0,0,0,82,0,0,0,0,0,30,32,32,0,0,0,31,0,0,0,0,0
2008-04-01,20,0,0,0,0,23,31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,25,0,0,0,0,0,0,30,0,50,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,54,0,20,0,0,20,0,0,29,0,47,0,0,84,0,0,0,31,0,0,0,0,0,0,0,32,0,0,21,0,0
2008-05-01,27,0,0,55,0,26,32,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,30,0,47,64,0,0,93,0,0,0,0,0,0,0,0,31,0,0,33,0,0,0,0,28,0,0,0,32,0,0,0,0,0,21,0,0,21,0,0,19,0,0,0,0,0,0,0,0,32,0,0,33,0,0,0,0,0,0,0,63,0,0
2008-06-01,44,0,35,0,25,22,0,96,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,27,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,21,0,0,0,35,0,0,31,60,0,23,0,0,23,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,49,0,23,0,0
2008-07-01,22,100,0,0,25,28,0,0,0,0,0,33,0,0,0,0,0,0,0,0,52,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,100,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,35,0,0,0,0,0,12,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,23,0,0
2008-08-01,19,0,0,0,0,25,0,0,0,0,0,58,0,0,34,0,0,0,0,0,0,25,0,0,0,0,32,0,0,0,0,0,41,29,0,0,0,0,0,0,23,0,0,0,0,0,0,0,30,0,0,31,0,0,0,0,20,0,0,0,0,0,0,0,53,0,0,0,0,80,0,0,37,0,0,0,0,0,0,0,0,30,47,0,0,0,0,0,0,63,0,0,40,0,0
2008-09-01,43,0,0,0,0,18,29,0,0,52,0,0,0,0,33,0,29,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,0,25,0,0,19,0,0,36,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,67,0,0,0,19,27,0,0,0,0,0,0,0,0,0,26,27,0,20,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,30,0,0,0,27,0,0,0,47,0,9,0,38,0,0,40,17,0,0,27,0,0,0,0,0,0,0,0,0,28,0,81,0,27,38,0,18,0,0
2008-11-01,27,0,0,0,41,36,0,79,100,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,22,0,0,0,0,0,0,0,28,0,39,30,0,0,0,0,26,0,0,0,29,0,43,26,0,0,14,0,0,19,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,30,0,0,0,30,0,0,28,0,0
2008-12-01,28,0,0,0,32,19,0,0,0,0,0,28,64,0,33,28,30,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,40,28,0,44,0,0,0,0,22,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,33,36,0,0,29,0,0,0,0,0,10,0,0,19,0,44,18,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,19,0,0
2009-01-01,22,0,26,45,18,28,26,0,0,0,0,25,0,0,0,0,0,0,20,0,0,0,0,0,45,0,0,0,25,0,42,57,0,0,0,39,0,0,0,0,20,0,0,0,0,40,0,0,26,0,0,0,0,0,0,66,27,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,32,0,0,0,24,0,0,0,0,25,0,0,0,27,0,0,0,40,36,0,0,0,0
2009-02-01,24,0,28,49,40,25,56,0,0,0,0,27,62,0,0,54,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,42,28,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,17,35,0,100,0,0,43,0,0,0,14,0,39,18,0,0,17,0,0,0,0,0,0,0,43,0,0,0,29,0,0,0,0,29,0,0,19,0,0
2009-03-01,16,0,25,0,18,36,25,0,0,0,25,24,0,0,0,0,0,38,0,0,0,0,0,0,43,0,0,0,24,0,40,0,0,23,0,0,0,0,0,71,19,35,0,54,0,38,0,0,0,0,0,0,0,27,0,0,39,30,0,0,25,0,0,22,0,0,0,0,0,16,0,0,15,0,0,0,0,0,0,0,0,24,0,0,0,26,0,0,0,38,70,0,16,0,0
2009-04-01,34,0,0,0,0,34,81,75,0,0,0,26,0,0,0,51,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,36,0,27,0,0,25,0,0,27,0,0,0,47,0,0,42,27,28,28,0,0,0,28,0,0,0,0,0
2009-05-01,17,0,27,47,39,22,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,28,0,26,0,0,0,0,25,0,0,27,63,0,0,20,0,0,0,0,0,0,0,0,70,0,28,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,38,26,0,40,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,100,0,38,0,0,0,0
2009-06-01,18,0,0,0,60,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,92,0,49,0,0,0,0,32,0,0,0,27,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,17,35,0,50,28,0,43,0,0,0,14,0,0,25,0,0,17,0,0,28,0,76,0,0,0,0,44,55,59,0,0,0,0,38,0,0,0,0,0
2009-07-01,18,0,28,0,0,20,0,0,0,100,0,0,0,0,0,0,0,0,0,0,42,23,0,0,0,0,29,0,0,0,0,0,38,26,0,0,0,0,0,0,21,0,0,60,0,0,0,0,0,0,39,0,0,31,0,0,32,0,0,0,28,0,0,37,0,0,14,0,0,18,0,0,17,0,0,0,0,75,0,0,0,0,44,27,30,30,0,0,0,0,0,0,47,0,0
2009-08-01,32,0,25,0,0,30,0,0,0,0,26,25,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,26,0,0,0,19,0,0,56,0,0,0,0,25,0,0,27,0,28,0,0,19,0,0,0,26,0,0,23,45,0,11,0,0,0,0,0,24,0,0,0,24,0,0,0,0,25,40,25,27,0,0,0,0,26,0,0,50,0,0
2009-09-01,46,68,0,0,17,31,0,0,0,0,0,23,0,0,0,0,0,0,18,0,0,0,0,0,42,0,0,0,23,0,0,0,0,0,0,37,0,0,0,0,18,0,0,0,0,0,100,0,0,0,0,25,0,26,0,0,33,0,0,0,0,0,0,22,0,0,8,0,0,16,0,0,15,0,0,24,0,65,0,0,0,24,0,0,25,25,0,0,0,0,0,0,43,0,0
2009-10-01,29,0,23,0,0,32,0,0,0,42,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,25,0,23,0,38,0,0,0,0,35,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,24,0,0,0,0,42,0,0,42,0,0,0,0,0,0,11,0,0,15,0,0,22,0,0,23,0,0,0,41,0,23,37,0,25,0,0,0,0,48,0,0,31,0,0
2009-11-01,29,0,0,0,49,27,23,0,82,0,0,44,0,0,0,22,0,36,0,0,0,0,0,0,0,0,25,0,0,0,0,0,31,0,0,35,23,0,100,0,26,0,0,0,0,0,0,0,23,0,0,0,0,26,0,0,21,0,0,0,47,0,0,0,0,0,18,0,33,23,0,0,29,0,0,23,0,0,0,41,36,0,36,46,0,40,0,0,0,24,65,0,15,0,0
2009-12-01,41,69,0,42,18,36,24,0,0,0,0,23,0,0,0,23,0,38,0,0,0,20,0,0,43,0,26,0,48,0,0,54,0,47,0,0,0,0,0,0,56,0,0,0,0,38,0,0,24,0,0,26,28,0,0,0,22,0,0,44,25,0,0,0,0,0,8,0,0,21,0,37,15,0,0,0,0,0,0,0,0,36,38,24,0,25,0,0,0,0,0,0,16,0,0
