date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Escarole,Feijoa,Fennel,Figs,Garlic,Gooseberries,Grapefruit,Grapes,Green Beans,Green Onions,Greens,Guava,Hominy,Jerusalem Artichoke,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Lychee,Malanga,Mangos,Mulberries,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Radishes,Raisins,Raspberries,Red Cabbage,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Ugli Fruit,Watercress,Watermelon,Yams,Cassava,Zucchini Squash
2006-01-01,0,0,98,0,0,40,0,24,70,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,73,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,42,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,40,0,0,0,0,22,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,76,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
2006-03-01,0,0,90,0,0,74,0,0,0,0,0,0,24,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,55,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,69,0,25,0,0,0,0,50,0,0,0,0,0,100,0,0,71,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,43,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,100,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,38,0,0,0,0,0,0,33,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,58,0,0,0,0,0,0,37,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,58,0,69,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,38,0,100,0,32,62,0,0,0,0,0,0,25,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,62,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,59,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,61,0,8,0,0,0,0,0,59,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,39,0,28,0,0,0,100,22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,78,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,19,0,0,0,0,0,68,0,0,0,0,0,0,0
2006-08-01,64,0,85,0,0,18,0,21,0,0,0,0,16,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,51,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,95,26,0,0,0,0,0,51,0,0,0,30,0,0,0
2006-09-01,47,0,0,0,0,23,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,82,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,29,0,0,0,35,0,15,0,0,0,0,0,0,77,0,0,0,51,90,9,0,0,0,0,0,49,0,0,0,0,0,0,0
2006-10-01,100,0,0,100,24,47,0,0,0,0,0,0,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,26,0,0,0,65,0,42,0,0,0,0,0,0,0,0,0,0,0,83,11,37,45,0,0,0,45,0,0,0,0,100,0,0
2006-11-01,27,0,0,0,0,53,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,25,0,0,0,31,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,29,0,0,0,0,59,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,6,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,48,86,7,0,0,0,0,0,46,0,0,0,0,0,0,0
2007-01-01,48,0,0,0,20,35,0,16,0,0,0,0,21,0,0,0,0,0,62,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,90,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,44,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,82,0,0,22,84,100,0
2007-02-01,39,0,70,0,22,43,0,0,0,0,0,0,11,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,51,0,24,0,0,0,30,0,13,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
2007-03-01,48,0,0,0,20,33,0,0,0,0,100,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,93,4,0,0,38,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,44,0,27,0,35,0,100,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,37,0,0,0,22,0,0,0
2007-04-01,26,0,0,0,21,21,0,0,49,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,24,0,0,0
2007-05-01,0,0,0,78,19,42,0,15,0,0,0,0,29,0,0,0,0,0,0,0,0,41,0,0,0,0,32,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,25,0,11,0,0,0,40,0,0,0,0,0,0,0,0,7,29,0,0,0,0,58,0,0,0,0,0,0,0
2007-06-01,35,0,0,0,19,34,0,0,0,0,96,0,25,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,42,0,0,0,24,0,0,0,0,0,0,0,0,36,0,0,0,27,0,0,0,0,0,0,0,0,0,0,51,0,0,0,93,21,0,0,92,53,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,30,36,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,52,0,0,0,32,33,0,17,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,95,0,29,0,13,0,0,0,0,0,0,0,0,0,0,42,0,17,33,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,22,0,0,0,28,48,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,40,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,25,0,0,0,46,0,0,0,0,0,0,0,0,36,0,16,0,0,0,0,0,35,0,0,0,0,0,0,0
2007-09-01,62,0,0,0,26,41,0,14,40,0,0,0,16,0,47,0,0,0,0,0,0,0,0,0,0,40,29,0,0,0,0,0,41,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,19,0,0,0
2007-10-01,38,0,0,0,16,28,0,0,0,0,0,0,17,0,0,0,0,0,50,0,83,0,0,0,0,0,28,0,0,37,0,0,0,41,32,0,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,26,0,0,0,22,0,14,100,40,0,0,0,0,47,0,0,0,0,0,9,0,30,0,79,0,30,0,0,0,0,67,0,0
2007-11-01,27,0,49,0,0,33,0,0,0,0,0,43,17,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,30,36,0,41,36,0,30,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,52,0,0,0,0,100,0,0,0,0,0,0,0,0,53,5,0,0,0,77,0,0,0,0,0,0,0,77,0
2007-12-01,20,0,0,70,0,37,0,0,0,0,0,0,19,0,47,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,37,0,0,0,0,0,0,4,0,100,0,100,54,79,23,0,0,0,0,0,0,38,44,0,0,0,0,0,0,83,0,0,0,81,23,0,10,0,0,0,37,0,0,0,0,0,0,33,0,10,0,31,0,0,0,32,70,90,0,19,0,0,0
2008-01-01,34,0,45,0,0,31,0,0,0,0,0,0,20,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,27,32,0,0,0,36,0,0,64,0,0,0,0,18,0,65,0,0,0,3,0,0,0,83,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,28,49,5,0,0,0,0,0,0,0,0,0,0,59,0,0
2008-02-01,36,0,0,0,15,33,0,12,0,0,0,0,18,0,41,64,0,0,0,54,0,0,0,0,0,0,0,0,0,69,0,0,35,0,0,0,0,0,0,0,0,19,0,69,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,39,0,68,0,0,0,0,0,0,0,33,0,31,0,0,0,0,0,0,0,0,0,0,0,0,29,0,9,0,0,0,75,0,28,0,0,0,0,0,0,0
2008-03-01,0,0,45,0,43,28,0,11,33,0,0,0,31,0,0,0,0,45,89,51,0,0,0,0,0,0,0,0,28,0,0,0,0,37,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,31,0,0,42,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0
2008-04-01,0,0,0,0,15,38,0,12,0,0,0,0,33,0,0,0,100,0,0,0,0,32,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,64,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,36,47,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,16,0,0,0
2008-05-01,27,0,0,0,15,29,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,52,100,0,0,0,0,0,0,0,100,0,65,0,0,0,38,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,40,0,0,0,73,0,0,0,0,20,33,0,0,0,0,32,0,0,0,0,0,0,0,0,5,0,28,0,0,0,42,0,0,0,17,0,0,0
2008-06-01,18,0,0,0,30,26,0,0,0,0,0,0,21,0,0,0,0,47,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,59,0,0,33,0,0,33,44,0,0,0,0,0,3,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,37,0,65,0,0,0,0,0,0,29,52,5,0,0,0,0,0,56,0,0,0,17,64,0,0
2008-07-01,21,0,0,0,26,34,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,33,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,19,0,0,0,35,0,10,0,0,0,38,0,0,0,0,0,0,68,0,14,0,0,0,0,0,33,0,0,0,19,0,0,0
