date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Cherimoya,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Jerusalem Artichoke,Jicama,Kale,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Lima Beans,Limes,Loquat,Lychee,Mangos,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prickly Pear,Prunes,Pumpkin,Quince,Radishes,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Rutabaga,Shallots,Spinach,Sprouts,Squash,Strawberries,String Beans,Sweet Potato,Tangelo,Tangerines,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2006-02-01,100,0,0,0,0,35,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,74,81,0,0,89,81,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,64,0,0,40,0,0,37,0,0
2006-03-01,31,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,73,0,0,80,0,0,30,0,55,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,58,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,77,69,0,0,0,0,0,0,0,0,0,0,100,0
2006-04-01,30,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,74,0,0,0,0,0,0,0,56,0,0,0,0,0,56,0,0,0,0,0,0,0,58,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,78,0,0,73,0,58,0,0,36,56,0,34,0,0
2006-05-01,41,52,0,0,0,28,0,0,0,100,0,0,55,0,0,0,74,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,52,0,0,0,90,0,0,52,0,0,0,79,0,0,0,0,68,59,0,0,63,0,0,50,0,0,0,0,0,70,0,52,66,0,52,0,0,43,0,0,45,0,0
2006-06-01,29,55,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,67,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,64,0,0,0,54,81,0,0,0,0,0,61,0,0,65,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,33,0,0,31,95,0
2006-07-01,27,0,0,0,0,38,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,65,0,0,0,0,0,0,54,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,51,0,0,0,89,0,0,0,0,90,0,0,0,0,0,0,0,58,0,0,0,52,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,64,0,0,30,0,0
2006-08-01,52,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,62,0,57,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,60,64,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,28,0,0
2006-09-01,36,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,71,0,66,0,100,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,67,0,0,0,0,59,0,0,0,0,0,0,51,0,0,0,0,0,88,0,0,51,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,51,0,0,64,49,0,30,0,0
2006-10-01,48,0,0,0,0,41,32,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,46,0,0,29,0,0,27,0,0
2006-11-01,24,0,46,0,0,33,63,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,90,0,0,0,0,47,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,100,0,0,54,0,0,44,0,0,0,0,0,60,0,45,0,0,67,0,0,0,0,0,26,0,0
